participant_id,file_name,category,metric
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Kinder-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,KitKat-001_Image,Food & Beverage,90
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Lipton-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Oreo-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Pepsi-001_Image,Food & Beverage,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Snickers-001_Image,Food & Beverage,86.66666667
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,DKNY-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Lacoste-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Hermes-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,CalvinKlein-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Versace-001_Image,Fashion,96.66666667
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Givenchy-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Celine-001_Image,Fashion,93.33333333
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Adidas_001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Fossil-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Gucci-001_Image,Fashion,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Intel-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Nokia-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,OnePlus-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Sonos-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Asus-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,BeatsByDre-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Samsung-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,Marshall-001_Image,Electronics,0
bcdaa9f8-9d83-06ac-1ef6-9df1842f7812,HP-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Amazon-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Cheerios-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Heineken-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Heinz-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Jif-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Kinder-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,KitKat-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Lipton-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Oreo-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Pepsi-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Snickers-001_Image,Food & Beverage,0
bd179696-eb4a-509d-ce98-a23c0a78290c,DKNY-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Lacoste-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Hermes-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,CalvinKlein-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Versace-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Givenchy-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Celine-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Adidas_001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Fossil-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Gucci-001_Image,Fashion,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Intel-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Nokia-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,OnePlus-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Sonos-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Asus-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,BeatsByDre-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Samsung-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,Marshall-001_Image,Electronics,0
bd179696-eb4a-509d-ce98-a23c0a78290c,HP-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Amazon-001_Image,Electronics,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Cheerios-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Heineken-001_Image,Food & Beverage,96.66666667
be11e87d-492f-7da2-c973-dc3a15b942e7,Heinz-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Jif-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Kinder-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,KitKat-001_Image,Food & Beverage,86.66666667
be11e87d-492f-7da2-c973-dc3a15b942e7,Lipton-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Oreo-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Pepsi-001_Image,Food & Beverage,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Snickers-001_Image,Food & Beverage,90
be11e87d-492f-7da2-c973-dc3a15b942e7,DKNY-001_Image,Fashion,83.33333333
be11e87d-492f-7da2-c973-dc3a15b942e7,Lacoste-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Hermes-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,CalvinKlein-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Versace-001_Image,Fashion,0
be11e87d-492f-7da2-c973-dc3a15b942e7,Givenchy-001_Image,Fashion,0
